問題,正解,不正解
花<style=C1-2>はな</style>見<style=C1-1>み</style>川<style=C1-2>かわ</style>区<style=C1-1>く</style>役<style=C1-2>やく</style>所<style=C1-1.5>しょ</style>の近<style=C1-2>ちか</style>くにある、¥n見<style=C1-1>み</style>頃<style=C1-2>ごろ</style>には１００輪<style=C1-2>りん</style>近<style=C1-2>ちか</style>くのオオガハスが見<style=C1-1>み</style>られる公<style=C1-2>こう</style>園<style=1C-2>えん</style>の名<style=C1-1>な</style>前<style=C1-2>まえ</style>は何<style=C1-2>なん</style>でしょうか？,しらさぎ公<style=C1-2>こう</style>園<style=C1-2>えん</style>,くろさぎ公<style=C1-2>こう</style>園<style=C1-2>えん</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>にある、こんよう神<style=1C-2>じん</style>社<style=1C-2>じゃ</style>は何<style=C1-2>なん</style>の神<style=1C-2>かみ</style>様<style=C1-2>さま</style>を祀<style=C1-2>まつ</style>っているでしょうか？,芋<style=C1-2>いも</style>神<style=C1-2>がみ</style>様<style=C1-2>さま</style>,じゃがいも様<style=C1-2>さま</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>の中<style=1C-2.5>ちゅう</style>央<style=1C-2>おう</style>部<style=1C-1>ぶ</style>を流<style=1C-2>なが</style>れる花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>がつながっているのは、どちらでしょうか？,印<style=C1-2>いん</style>旛<style=C1-1>ば</style>沼<style=C1-2>ぬま</style>,琵<style=C1-1>び</style>琶<style=C1-1>わ</style>湖<style=C1-1>こ</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>宇<style=1C-1>う</style>那<style=1C-1>な</style>谷<style=1C-1>や</style>町<style=1C-2.5>ちょう</style>にある内<style=1C-2>うち</style>野<style=1C-1>の</style>第<style=1C-2>だい</style>１遺<style=1C-1>い</style>跡<style=1C-2>せき</style>で見<style=1C-1>み</style>つかった土<style=1C-1>ど</style>版<style=1C-2>ばん</style>（長<style=1C-2.5>ちょう</style>方<style=1C-2>ほう</style>形<style=1C-2>けい</style>の土<style=1C-2>つち</style>製<style=1C-2>せい</style>品<style=1C-2>ひん</style>）にはあるものが表<style=1C-2.5>ひょう</style>現<style=1C-2>げん</style>されていましたが、それは何<style=1C-2>なん</style>でしょうか？,人<style=C1-2>ひと</style>の顔<style=C1-2>かお</style>,犬<style=C1-2>いぬ</style>の顔<style=C1-2>かお</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>武<style=1C-2>たけ</style>石<style=1C-2>いし</style>にある武<style=1C-2>たけ</style>石<style=1C-2>いし</style>神<style=1C-2>じん</style>社<style=1C-1.5>じゃ</style>でまつられる「武<style=1C-2>たけ</style>石<style=1C-2>いし</style>胤<style=1C-2>たね</style>盛<style=1C-2>もり</style> 」は、誰<style=1C-2>だれ</style>の息<style=1C-2>むす</style>子<style=1C-1>こ</style>でしょうか？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>常<style=C1-2>つね</style>胤<style=C1-2>たね</style>,源頼朝<style=C3-9>みなもとのよりとも</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>花<style=1C-2>はな</style>園<style=1C-2>ぞの</style>にある花<style=1C-2>はな</style>園<style=1C-2>ぞの</style>公<style=1C-2>こう</style>民<style=1C-2>みん</style>館<style=1C-2>かん</style>は、市<style=1C-1>し</style>の公<style=1C-2>こう</style>民<style=1C-2>みん</style>館<style=1C-2>かん</style>の中<style=1C-2>なか</style>でも特<style=1C-2>とく</style>徴<style=1C-2.5>ちょう</style>がありますが、それはどれでしょうか？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>初<style=C1-2>はつ</style>の公<style=C1-2>こう</style>民<style=C1-2>みん</style>館<style=C1-2>かん</style>,木<style=C1-2>もく</style>造<style=C1-2>ぞう</style>である
ＪＲ幕<style=1C-2>まく</style>張<style=1C-2>はり</style>駅<style=1C-2>えき</style>が開<style=1C-2>かい</style>業<style=1C-2.5>ぎょう</style>した1894年<style=1C-2>ねん</style>にあったできごとはどちらでしょうか？,日<style=C1-1>に</style>本<style=C1-2>ほん</style>と清<style=C1-2>しん</style>(中<style=C1-2.5>ちゅう</style>国<style=C1-2>ごく</style>)の戦<style=C1-2>せん</style>争<style=C1-2>そう</style>,日<style=C1-1>に</style>本<style=C1-2>ほん</style>とロシアの戦<style=C1-2>せん</style>争<style=C1-2>そう</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>さつきが丘<style=1C-2>おか</style>にある犢<style=1C-2>こて</style>橋<style=1C-2>はし</style>貝<style=1C-2>かい</style>塚<style=1C-2>ずか</style>では、貝<style=1C-2>かい</style>の他<style=1C-2>ほか</style>に動<style=1C-2>どう</style>物<style=1C-2>ぶつ</style>の骨<style=1C-2>ほね</style>も出<style=1C-2.5>しゅつ</style>土<style=1C-1>ど</style>しています。一<style=1C-2>いち</style>番<style=1C-2>ばん</style>多<style=1C-2>おお</style>く出<style=1C-2.5>しゅつ</style>土<style=1C-1>ど</style>している動<style=1C-2>どう</style>物<style=1C-2>ぶつ</style>の骨<style=1C-2>ほね</style>は何<style=1C-2>なん</style>でしょうか？,シカ,マンモス
稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>区<style=1C-1>く</style>稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>の国<style=1C-2>こく</style>道<style=1C-2>どう</style>１４号<style=1C-2>ごう</style>沿<style=1C-1>ぞ</style>いには、稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>浅<style=1C-2>あさ</style>間<style=1C-1>ま</style>神<style=1C-2>じん</style>社<style=1C-1.5>じゃ</style>の鳥<style=1C-2>とり</style>居<style=1C-1>い</style>があります。この場<style=1C-1>ば</style>所<style=1C-1.5>しょ</style>は、もともとどんな場<style=1C-1>ば</style>所<style=1C-1.5>しょ</style>だったでしょうか？,海<style=C1-2>うみ</style>,砂<style=C1-1>さ</style>漠<style=C1-2>ばく</style>
稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>区<style=1C-1>く</style>轟<style=1C-4>とどろき</style>町<style=1C-2.5>ちょう</style>の来<style=1C-2>らい</style>迎<style=1C-2>こう</style>寺<style=1C-1>じ</style>は、元<style=1C-2>もと</style>々<style=1C-2>もと</style>中<style=1C-2.5>ちゅう</style>央<style=1C-2>おう</style>区<style=1C-1>く</style>にありました。とあるできごとをきっかけに場<style=1C-1>ば</style>所<style=1C-1.5>しょ</style>が移<style=1C-2>うつ</style>されました。それは何<style=1C-2>なん</style>でしょうか？,1945年<style=C1-2>ねん</style>:千<style=C1-1>ち</style>葉<style=C1-1>ば</style>空<style=C1-2>くう</style>襲<style=C1-2.5>しゅう</style>, 1976年<style=C1-2>ねん</style>:できてから700年<style=C1-2>ねん</style>の記<style=C1-1>き</style>念<style=C1-2>ねん</style>
稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>区<style=1C-1>く</style>轟<style=1C-4>とどろき</style>町<style=1C-2.5>ちょう</style>にあるお寺<style=1C-2>てら</style>には、千<style=1C-1>ち</style>葉<style=1C-1>ば</style>一<style=1C-2>いち</style>族<style=1C-2>ぞく</style>のお墓<style=1C-2>はか</style>があります。お寺<style=1C-2>てら</style>の名<style=1C-1>な</style>前<style=1C-2>まえ</style>はどちらでしょうか？,大<style=C1-2>だい</style>日<style=C1-2>にち</style>寺<style=C1-2>でら</style>(稲<style=C1-2>いな</style>毛<style=C1-1>げ</style>区<style=C1-1>く</style>),重<style=C1-2.5>ちょう</style>俊<style=C1-2.5>しゅう</style>院<style=C1-2>いん</style>
稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>区<style=1C-1>く</style>稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>にある千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>ゆかりの家<style=1C-2>いえ</style>・いなげは、貴<style=1C-1>き</style>重<style=1C-2.5>ちょう</style>な和<style=1C-1>わ</style>風<style=1C-2>ふう</style>別<style=1C-1.5>べっ</style>荘<style=1C-2>そう</style>建<style=1C-2>けん</style>築<style=1C-2>ちく</style>として知<style=1C-1>し</style>られています。何<style=1C-2>なに</style>に登<style=1C-2>とう</style>録<style=1C-2>ろく</style>されたでしょうか？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>地<style=C1-1>ち</style>域<style=C1-2>いき</style>有<style=C1-2>ゆう</style>形<style=C1-2>けい</style>文<style=C1-2>ぶん</style>化<style=C1-1>か</style>財<style=C1-2>ざい</style>,世<style=C1-1>せ</style>界<style=C1-2>かい</style>遺<style=C1-1>い</style>産<style=C1-2>さん</style>
稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>区<style=1C-1>く</style>稲<style=1C-2>いな</style>毛<style=1C-1>げ</style> にある千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>民<style=1C-2>みん</style>ギャラリー稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>は、明<style=1C-2>めい</style>治<style=1C-1>じ</style>・大<style=1C-2>たい</style>正<style=1C-2.5>しょう</style>時<style=1C-1>じ</style>代<style=1C-2>だい</style>の実<style=1C-2>じつ</style>業<style=1C-2.5>ぎょう</style>家<style=1C-1>か</style>初<style=1C-1.5>しょ</style>代<style=1C-2>だい</style>神<style=1C-2>かみ</style>谷<style=1C-1>や</style>伝<style=1C-2>でん</style>兵<style=1C-1>べ</style>衛<style=1C-1>え</style>の別<style=1C-1.5>べっ</style>荘<style=1C-2>そう</style>だった建<style=1C-2>たて</style>物<style=1C-2>もの</style>です。神<style=1C-2>かみ</style>谷<style=1C-1>や</style>伝<style=1C-2>でん</style>兵<style=1C-1>べ</style>衛<style=1C-1>え</style>は、何<style=1C-2>なん</style>と呼<style=1C-1>よ</style>ばれていたでしょうか？,日<style=C1-1>に</style>本<style=C1-2>ほん</style>のワイン王<style=C1-2>おう</style>,日<style=C1-1>に</style>本<style=C1-2>ほん</style>のバナナ王<style=C1-2>おう</style>
中<style=1C-2.5>ちゅう</style>央<style=1C-2>おう</style>区<style=1C-1>く</style>弁<style=1C-2>べん</style>天<style=1C-2>てん</style>にある千<style=1C-1>ち</style>葉<style=1C-1>ば</style>公<style=1C-2>こう</style>園<style=1C-2>えん</style>で、毎<style=1C-2>まい</style>年<style=1C-2>とし</style>６月 <style=1C-2>がつ</style>、日<style=1C-1.5>にっ</style>中<style=1C-2.5>ちゅう</style>に行<style=1C-3>おこな</style>われるお祭<style=1C-2>まつ</style>りは何<style=1C-2>なん</style>でしょうか？,大<style=C1-2>おお</style>賀<style=C1-1>が</style>ハスまつり,キッズフェスタ
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>県<style=C1-2>けん</style>で唯<style=C1-2>ゆい</style>一<style=C1-2>いつ</style>、チーターやブチハイエナに会<style=C1-1>あ</style>えるのはどこでしょうか？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>で会<style=C1-1>あ</style>えるレッサーパンダの名<style=C1-1>な</style>前<style=C1-2>まえ</style>は何<style=C1-2>なん</style>でしょう？,風<style=C1-2>ふう</style>太<style=C1-1>た</style>くん,風<style=C1-2>ふう</style>神<style=C1-2>じん</style>くん
美<style=1C-1>み</style>浜<style=1C-2>はま</style>区<style=1C-1>く</style>中<style=1C-2>なか</style>瀬<style=1C-1>せ</style>にある、日<style=1C-1>に</style>本<style=1C-2>ほん</style>で総<style=1C-2>そう</style>展<style=1C-2>てん</style>示<style=1C-1>じ</style>面<style=1C-2>めん</style>積<style=1C-2>せき</style>が第<style=1C-2>だい</style>2位<style=1C-1>い</style>の幕<style=1C-2>まく</style>張<style=1C-2>はり</style>メッセは何<style=1C-2>なん</style>平<style=1C-2>へい</style>方<style=1C-2>ほう</style>メートルでしょうか？（ヒント：ZOZOマリンスタジアムの延<style=1C-2>のべ</style>床<style=1C-2>ゆか</style>面<style=1C-2>めん</style>積<style=1C-2>せき</style>は4万<style=1C-2>まん</style>8444平<style=1C-2>へい</style>方<style=1C-2>ほう</style>メートル）,7万<style=C1-2>まん</style>2000平<style=C1-2>へい</style>方<style=C1-2>ほう</style>メートル,11万<style=C1-2>まん</style>5420平<style=C1-2>へい</style>方<style=C1-2>ほう</style>メートル
幕<style=1C-2>まく</style>張<style=1C-2>はり</style>の浜<style=1C-2>はま</style>では、毎<style=1C-2>まい</style>年<style=1C-2>とし</style>花<style=1C-2>はな</style>火<style=1C-1>び</style>大<style=1C-2>たい</style>会<style=1C-2>かい</style>が開<style=1C-2>かい</style>催<style=1C-2>さい</style>されています。この幕<style=1C-2>まく</style>張<style=1C-2>はり</style>の浜<style=1C-2>はま</style>は、いつ完<style=1C-2>かん</style>成<style=1C-2>せい</style>したでしょうか？,1979年<style=C1-2>ねん</style>,1945年<style=C1-2>ねん</style>
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>の海<style=C1-2>うみ</style>辺<style=C1-1>べ</style>からは、沈<style=C1-2>しず</style>む太<style=C1-2>たい</style>陽<style=C1-2>よう</style>が富<style=C1-1>ふ</style>士<style=C1-1>じ</style>山<style=C1-2>さん</style>の山<style=C1-2>さん</style>頂<style=C1-2.5>ちょう</style>に重<style=C1-2>かさ</style>なり、きれいに見<style=C1-1>み</style>える現<style=C1-2>げん</style>象<style=C1-2.5>しょう</style>がみられます。「○○富<style=C1-1>ふ</style>士<style=C1-1>じ</style>」といわれていますが、何<style=C1-2>なん</style>でしょうか？,ゴールデン富<style=C1-1>ふ</style>士<style=C1-1>じ</style>,ダイヤモンド富<style=C1-1>ふ</style>士<style=C1-1>じ</style>
美<style=1C-1>み</style>浜<style=1C-2>はま</style>区<style=1C-1>く</style>美<style=1C-1>み</style>浜<style=1C-2>はま</style>にあるプロ野<style=1C-1>や</style>球<style=1C-2.5>きゅう</style>の千<style=1C-1>ち</style>葉<style=1C-1>ば</style>ロッテマリーンズのホームスタジアム（ZOZOマリンスタジアム）は、東<style=1C-2>とう</style>京<style=1C-2.5>きょう</style>湾<style=1C-2>わん</style>に面<style=1C-2>めん</style>した〇〇公<style=1C-2>こう</style>園<style=1C-2>えん</style>内<style=1C-2>ない</style>に建<style=1C-1>た</style>っています。この公<style=1C-2>こう</style>園<style=1C-2>えん</style>の名<style=1C-1>な</style>前<style=1C-2>まえ</style>は何<style=1C-2>なん</style>でしょうか？,海<style=C1-2>かい</style>浜<style=C1-2>ひん</style>幕<style=C1-2>まく</style>張<style=C1-2>はり</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>蘇<style=C1-1>そ</style>我<style=C1-1>が</style>スポーツ公<style=C1-2>こう</style>園<style=C1-2>えん</style>
美<style=1C-1>み</style>浜<style=1C-2>はま</style>区<style=1C-1>く</style>稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>海<style=1C-2>かい</style>岸<style=1C-2>がん</style>にある稲<style=1C-2>いな</style>岸<style=1C-2>ぎし</style>公<style=1C-2>こう</style>園<style=1C-2>えん</style>の近<style=1C-2>ちか</style>くは、埋<style=1C-2>うめ</style>立<style=1C-2>たて</style>前<style=1C-2>まえ</style>は遠<style=1C-2>とお</style>浅<style=1C-2>あさ</style>の海<style=1C-2>うみ</style>が広<style=1C-2>ひろ</style>がっていました。その特<style=1C-2>とく</style>徴<style=1C-2.5>ちょう</style>からあることに利<style=1C-1>り</style>用<style=1C-2>よう</style>され、○○発<style=1C-1.5>はっ</style>祥<style=1C-2.5>しょう</style>の地<style=1C-1>ち</style>になっていますが、それは何<style=1C-2>なん</style>でしょうか。,民<style=C1-2>みん</style>間<style=C1-2>かん</style>飛<style=C1-1>ひ</style>行<style=C1-2>こう</style>場<style=C1-2.5>じょう</style>,潮<style=C1-2>しお</style>干<style=C1-1>ひ</style>狩<style=C1-1>が</style>り
検<style=1C-1>け</style>見<style=1C-1>み</style>川<style=1C-2>がわ</style>の浜<style=1C-2>はま</style>は〇〇が盛<style=1C-2>さか</style>んなことで有<style=1C-2>ゆう</style>名<style=1C-2>めい</style>ですが、それは何<style=1C-2>なん</style>でしょうか。東<style=1C-2>とう</style>京<style=1C-2.5>きょう</style>から近<style=1C-2>ちか</style>い距<style=1C-1.5>きょ</style>離<style=1C-1>り</style>にあるため、多<style=1C-2>おお</style>くの愛<style=1C-2>あい</style>好<style=1C-2>こう</style>家<style=1C-1>か</style>が訪<style=1C-3>おとず</style>れます。,マリンスポーツ,花<style=C1-2>はな</style>火<style=C1-1>び</style>
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>みなとにあるさんばし広<style=C1-2>ひろ</style>場<style=C1-1>ば</style>からは市<style=C1-1>し</style>内<style=C1-2>ない</style>で唯<style=C1-2>ゆい</style>一<style=C1-2>いつ</style>の遊<style=C1-2>ゆう</style>覧<style=C1-2>らん</style>船<style=C1-2>せん</style>が発<style=C1-1.5>はっ</style>着<style=C1-2.5>ちゃく</style>しています。夜<style=C1-2>よる</style>には船<style=C1-2>せん</style>上<style=C1-2.5>じょう</style>からロマンチックな〇〇が楽<style=C1-2>たの</style>しめますがそれは何<style=C1-2>なん</style>でしょうか。,工<style=C1-2>こう</style>場<style=C1-2.5>じょう</style>夜<style=C1-1>や</style>景<style=C1-2>けい</style>,音<style=C1-2>おん</style>楽<style=C1-2>がく</style>
市<style=C1-2>はま</style>の鳥<style=C1-2>とり</style>に制<style=C1-2>せい</style>定<style=C1-2>てい</style>されている渡<style=C1-2>わた</style>り鳥<style=C1-2>とり</style>は何<style=C1-2>なん</style>でしょうか？数<style=C1-2>かず</style>が少<style=C1-2>すく</style>ないため、保<style=C1-1>ほ</style>護<style=C1-1>ご</style>活<style=C1-2>かつ</style>動<style=C1-2>どう</style>も行<style=C1-2>おこ</style>っています。,コアジサシ,カラス
美<style=1C-1>み</style>浜<style=1C-2>はま</style>区<style=1C-1>く</style>ひび野<style=1C-1>の</style>にある日<style=1C-1>の</style>本<style=1C-2>ほん</style>庭<style=1C-2>てい</style>園<style=1C-2>えん</style>の名<style=1C-1>な</style>前<style=1C-2>まえ</style>は何<style=1C-2>なん</style>でしょうか？日<style=1C-1>に</style>本<style=1C-2>ほん</style>文<style=1C-2>ぶん</style>化<style=1C-1>か</style>が感<style=1C-2>かん</style>じられるスポットとして、外<style=1C-2>がい</style>国<style=1C-2>こく</style>人<style=1C-2>じん</style>にも人<style=1C-2>にん</style>気<style=1C-1>き</style>があります。,見<style=C1-1>み</style>浜<style=C1-2>はま</style>園<style=C1-2>えん</style>,美<style=C1-1>み</style>浜<style=C1-2>はま</style>園<style=C1-2>えん</style>
