問題,正解,不正解
緑<style=1C-3>みどり</style>区<style=1C-1>く</style>土<style=1C-1>と</style>気<style=1C-1>け</style>町<style=1C-2.5>ちょう</style>にある昭<style=1C-2.5>しょう</style>和<style=1C-1>わ</style>の森<style=1C-2>もり</style>にあるローラーすべり台<style=1C-2>だい</style>は千<style=1C-1>ち</style>葉<style=1C-1>ば</style>県<style=1C-2>けん</style>で一<style=1C-2>いち</style>番<style=1C-2>ばん</style>長<style=1C-2>なが</style>いですが、その長<style=1C-2>なが</style>さは何<style=1C-2>なん</style>メートルでしょうか？,109メートル,1009メートル
緑<style=1C-3>みどり</style>区<style=1C-1>く</style>大<style=1C-2>おお</style>椎<style=1C-1>じ</style>町<style=1C-2.5>ちょう</style>にある大<style=1C-2>おお</style>椎<style=1C-1>じ</style>城<style=1C-2.5>じょう</style>跡<style=1C-2>あと</style>は過<style=1C-1>か</style>去<style=1C-1>こ</style>に千<style=1C-1>ち</style>葉<style=1C-1>ば</style>氏<style=1C-2>うじ</style>が本<style=1C-2>ほん</style>拠<style=1C-1.5>きょ</style>地<style=1C-1>ち</style>としていたといわれていますが、何<style=1C-2>なに</style>時<style=1C-1>じ</style>代<style=1C-2>だい</style>でしょうか？,平<style=C1-2>へい</style>安<style=C1-2>あん</style>時<style=C1-1>じ</style>代<style=C1-2>だい</style>,鎌<style=C1-2>かま</style>倉<style=C1-2>くら</style>時<style=C1-1>じ</style>代<style=C1-2>だい</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>一<style=1C-2>いち</style>族<style=1C-2>ぞく</style>の先<style=1C-2>せん</style>祖<style=1C-1>ぞ</style>にあたる平<style=1C-4>たいらの</style>忠<style=1C-2>ただ</style>常<style=1C-2>つね</style>が建<style=1C-1>た</style>てた緑<style=1C-3>みどり</style>区<style=1C-1>く</style>平<style=1C-2>ひら</style>山<style=1C-2>やま</style>町<style=1C-2.5>ちょう</style>にある東<style=1C-2>とう</style>光<style=1C-2>こう</style>院<style=1C-2>いん</style>は何<style=1C-2>なに</style>を¥n願<style=1C-2>ねが</style>って建<style=1C-1>た</style>てられたお寺<style=1C-2>てら</style>でしょうか？,人<style=C1-2>ひと</style>々<style=C1-2>びと</style>の病<style=C1-2.5>びょう</style>気<style=C1-1>き</style>が治<style=C1-2>なお</style>るように,お金<style=C1-2>かね</style>持<style=C1-1>も</style>ちになれるように
緑<style=C1-3>みどり</style>区<style=C1-1>く</style>おゆみ野<style=C1-1>の</style>にある有<style=C1-2>あり</style>吉<style=C1-2>よし</style>北<style=C1-2>きた</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>にはどちらが落<style=C1-1>お</style>ちているでしょうか？,土<style=C1-1>ど</style>器<style=C1-1>き</style>片<style=C1-2>へん</style>,鉄<style=C1-1.5>てっ</style>器<style=C1-1>き</style>片<style=C1-2>へん</style>
緑<style=C1-3>みどり</style>区<style=C1-1>く</style>おゆみ野<style=C1-1>の</style>中<style=C1-2.5>ちゅう</style>央<style=C1-2>おう</style>付<style=C1-1>ふ</style>近<style=C1-2>きん</style>にある有<style=C1-2>あり</style>吉<style=C1-2>よし</style>南<style=C1-3>みなみ</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>では、埋<style=C1-1>う</style>められた人<style=C1-2>ひと</style>の骨<style=C1-2>ほね</style>と一<style=C1-1.5>いっ</style>緒<style=C1-1.5>しょ</style> に、動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>の骨<style=C1-2>ほね</style>で作<style=C1-2>つく</style>った装<style=C1-2>そう</style>飾<style=C1-2.5>しょく</style>品<style=C1-2>ひん</style>が見<style=C1-1>み</style>つかりました。その動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>はどちらでしょうか？,イルカ,タカ
加<style=C1-1>か</style>曽<style=C1-1>そ</style>利<style=C1-1>り</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>は日<style=C1-1>に</style>本<style=C1-2>ほん</style>最<style=C1-2>さい</style>大<style=C1-2>だい</style>級<style=C1-2.5>きゅう</style>の大<style=C1-2>おお</style>きさですが、上<style=C1-2.5>じょう</style>空<style=C1-2>くう</style>から見<style=C1-1>み</style>るとどんな形<style=C1-3>かたち</style>をしているでしょうか？,８の字<style=C1-1>じ</style>型<style=C1-2>がた</style>,三<style=C1-2>さん</style>角<style=C1-2>かく</style>型<style=C1-2>けい</style>
若<style=C1-2>わか</style>葉<style=C1-1>ば</style>区<style=C1-1>く</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>町<style=C1-2.5>ちょう</style>にある荒<style=C1-2>あら</style>屋<style=C1-1>や</style>敷<style=C1-2>しき</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>は少<style=C1-2>すこ</style>し高<style=C1-2>たか</style>い位<style=C1-1>い</style>置<style=C1-1>ち</style>にある貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>です。その標<style=C1-2.5>ひょう</style>高<style=C1-2>こう</style>は何<style=C1-2>なん</style>メートルでしょうか？,31メートル,310メートル
若<style=C1-2>わか</style>葉<style=C1-1>ば</style>区<style=C1-1>く</style>加<style=C1-1>か</style>曽<style=C1-1>そ</style>利<style=C1-1>り</style>町<style=C1-2.5>ちょう</style>にある花<style=C1-2>はな</style>輪<style=C1-1>わ</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>の特<style=C1-2>とく</style>徴<style=C1-2.5>ちょう</style>に当<style=C1-1>あ</style>てはまるのは、次<style=C1-2>つぎ</style>のうちどちらでしょうか？「貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>が作<style=C1-2>つく</style>られた期<style=C1-1>き</style>間<style=C1-2>かん</style>が他<style=C1-2>ほか</style>の貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>に比<style=C1-2>くら</style>べてとても○○」,短<style=C1-3>みじか</style>い,長<style=C1-2>なが</style>い
若<style=C1-2>わか</style>葉<style=C1-1>ば</style>区<style=C1-1>く</style> みつわ台<style=C1-2>だい</style>にある東<style=C1-3>ひがし</style>寺<style=C1-2>てら</style>山<style=C1-2>やま</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>からはとある動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>の骨<style=C1-2>ほね</style>が見<style=C1-1>み</style>つかりました。その動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>はどちらでしょう？,クジラ,クマ
滑<style=C1-3>なめり</style>橋<style=C1-2>ばし</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>の近<style=C1-2>ちか</style>くの坂<style=C1-2>さか</style>月<style=C1-2>つき</style>川<style=C1-2>がわ</style>やビオトープは、ある生<style=C1-2>せい</style>物<style=C1-2>ぶつ</style>の生<style=C1-2>せい</style>息<style=C1-2>そく</style>地<style=C1-1>ち</style>になっています。その生<style=C1-2>せい</style>物<style=C1-2>ぶつ</style>は何でしょう？,ホタル,ヒクイドリ
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>動<style=C1-2>どう</style>物<style=C1-2>ぶつ</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>ではとある姿<style=C1-3>すがた</style>をすることで有<style=C1-2>ゆう</style>名<style=C1-2>めい</style>なレッサーパンダの風<style=C1-2>ふう</style>太<style=C1-1>た</style>くんに会<style=C1-1>あ</style>うことできます。風<style=C1-2>ふう</style>太<style=C1-1>た</style>くんはどんなポーズで有<style=C1-2>ゆう</style>名<style=C1-2>めい</style>になりましたか？,立<style=C1-1>た</style>つ,寝<style=C1-1>ね</style>る
戦<style=C1-2>せん</style>国<style=C1-2>ごく</style>時<style=C1-1>じ</style>代<style=C1-2>だい</style>、今<style=C1-2>いま</style>の若<style=C1-2>わか</style>葉<style=C1-1>ば</style>区<style=C1-1>く</style>高<style=C1-2>たか</style>品<style=C1-2>しな</style>町<style=C1-2.5>ちょう</style>にある高<style=C1-2>たか</style>品<style=C1-2>しな</style>城<style=C1-2.5>じょう</style>跡<style=C1-2>あと</style>で千<style=C1-1>ち</style>葉<style=C1-1>ば</style>氏<style=C1-2>うじ</style>のお殿<style=C1-2>との</style>様<style=C1-2>さま</style>の重<style=C1-2.5>じゅう</style>要<style=C1-2>よう</style>な儀<style=C1-1>ぎ</style>式<style=C1-2>しき</style>「元<style=C1-2>げん</style>服<style=C1-2>ぷく</style>」が行<style=C1-3>おこな</style>われました。この元<style=C1-2>げん</style>服<style=C1-2>ぷく</style>とは現<style=C1-2>げん</style>在<style=C1-2>ざい</style>の何<style=C1-2>なん</style>の行<style=C1-2.5>ぎょう</style>事<style=C1-1>じ</style>のことでしょうか？,成<style=C1-2>せい</style>人<style=C1-2>じん</style>式<style=C1-2>しき</style>,七<style=C1-2>しち</style>五<style=C1-1>ご</style>三<style=C1-2>さん</style>
紅<style=C1-2>べん</style>嶽<style=C1-2>たけ</style>弁<style=C1-2>べん</style>財<style=C1-2>ざい</style>天<style=C1-2>てん</style>は千<style=C1-1>ち</style>葉<style=C1-1>ば</style>常<style=C1-2>つね</style>胤<style=C1-2>たね</style>という武<style=C1-1>ぶ</style>士<style=C1-1>し</style>が、ある町<style=C1-2>まち</style>から今<style=C1-2>いま</style>の若<style=C1-2>わか</style>葉<style=C1-1>ば</style>区<style=C1-1>く</style>みつわ台<style=C1-2>だい</style>に移<style=C1-2>うつ</style>して建<style=C1-1>た</style>てた神<style=C1-2>じん</style>社<style=C1-1.5>じゃ</style>です。その町<style=C1-2>まち</style>とはどこでしょうか？,鎌<style=C1-2>かま</style>倉<style=C1-2>くら</style>,京<style=C1-2.5>きょう</style>都<style=C1-1>と</style>
中<style=C1-2.5>ちゅう</style>央<style=C1-2>おう</style>区<style=C1-1>く</style>市<style=C1-2>いち</style>場<style=C1-1>ば</style>町<style=C1-2.5>ちょう</style>には「羽<style=C1-1>は</style>衣<style=C1-3>ごろも</style>の松<style=C1-2>まつ</style> 」と呼<style=C1-1>よ</style>ばれる松<style=C1-2>まつ</style>の木<style=C1-1>き</style>があります。この松<style=C1-2>まつ</style>は、○○が羽<style=C1-1>は</style>衣<style=C1-3>ごろも</style>をかけたとする伝<style=C1-2>でん</style>説<style=C1-2>せつ</style>が残<style=C1-2>のこ</style>されています。それは誰<style=C1-2>だれ</style>でしょうか？,天<style=C1-2>てん</style>女<style=C1-1.5>にょ</style>,かぐや姫<style=C1-2>ひめ</style>
中<style=C1-2.5>ちゅう</style>央<style=C1-2>おい</style>区<style=C1-1>く</style>亥<style=C1-2>いの</style>鼻<style=C1-2>はな</style>にある千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>立<style=C1-2>りつ</style>郷<style=C1-2.5>きょう</style>土<style=C1-1>ど</style>博<style=C1-2>はく</style>物<style=C1-2>ぶつ</style>館<style=C1-2>かん</style>の建<style=C1-1>た</style>っている場<style=C1-1>ば</style>所<style=C1-1.5>しょ</style>は、城<style=C1-2>しろ</style>跡<style=C1-2>あと</style>だったといわれています。だれのお城<style=C1-2>しろ</style>だといわれていますか？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>氏<style=C1-2>うじ</style>,蘇<style=C1-1>そ</style>我<style=C1-1>が</style>氏<style=C1-1>し</style>
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>の人<style=C1-2>じん</style>口<style=C1-2>こう</style>500万<style=C1-2>まん</style>人<style=C1-2>にん</style>突<style=C1-1.5>とっ</style>破<style=C1-1>ぱ</style>を記<style=C1-1>き</style>念<style=C1-2>ねん</style>して建<style=C1-1>た</style>てられた、高<style=C1-2>たか</style>さ125mの千<style=C1-1>ち</style>葉<style=C1-1>ば</style>港<style=C1-2>こう</style>のシンボルとなる建<style=C1-2>たて</style>物<style=C1-2>もの</style>の名<style=C1-1>な</style>前<style=C1-2>まえ</style>は何<style=C1-2>なん</style>でしょうか？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>ポートタワー,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>ポートサイドタワー
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>では初<style=C1-1.5>しょ</style>夏<style=C1-1>か</style> になると2000 年<style=C1-2>ねん</style>以<style=C1-1>い</style>上<style=C1-2.5>じょう</style>前<style=C1-2>まえ</style>に咲<style=C1-1>さ</style>いたといわれる〇〇の花<style=C1-2>はな</style>を鑑<style=C1-2>かん</style>賞<style=C1-2.5>しょう</style>するため、多<style=C1-2>おお</style>くの人<style=C1-2>ひと</style>でにぎわいます。それはどれでしょうか？,大<style=C1-2>おお</style>賀<style=C1-1>が</style>ハス,バラ
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>立<style=C1-2>りつ</style>郷<style=C1-2.5>きょう</style>土<style=C1-1>ど</style>博<style=C1-2>はく</style>物<style=C1-2>ぶつ</style>館<style=C1-2>かん</style>のある場<style=C1-1>ば</style>所<style=C1-1.5>しょ</style>は、公<style=C1-2>こう</style>園<style=C1-2>えん</style>になっており、毎<style=C1-2>まい</style>年<style=C1-2>とし</style>春<style=C1-2>はる</style>には、ある植<style=C1-2.5>しょく</style>物<style=C1-2>ぶつ</style>が見<style=C1-1>み</style>ごろを迎<style=C1-2>むか</style>え、お祭<style=C1-2>まつ</style>りが開<style=C1-2>ひら</style>かれます。何<style=C1-2>なん</style>という植<style=C1-2.5>しょく</style>物<style=C1-2>ぶつ</style>でしょうか？,サクラ,ウメ
中<style=C1-2.5>ちゅう</style>央<style=C1-2>おう</style>区<style=C1-1>く</style>仁<style=C1-1>に</style>戸<style=C1-1>と</style>名<style=C1-1>な</style>町<style=C1-2.5>ちょう</style>にある月<style=C1-2>つき</style>ノ<style=C1-1>の</style>木<style=C1-1>き</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>ではハマグリ、キサゴ、アサリなどの貝<style=C1-2>かい</style>が見<style=C1-1>み</style>つかっています。この貝<style=C1-2>かい</style>の共<style=C1-2.5>きょう</style>通<style=C1-2>つう</style>点<style=C1-2>てん</style>はどれでしょう？,浅<style=C1-2>あさ</style>い干<style=C1-1>ひ</style>潟<style=C1-2>がた</style>にすむ,深<style=C1-2>ふか</style>い干<style=C1-1>ひ</style>潟<style=C1-2>がた</style>にすむ
中<style=C1-2.5>ちゅう</style>央<style=C1-2>おう</style>区<style=C1-1>く</style>弁<style=C1-2>べん</style>天<style=C1-2>てん</style>の宗<style=C1-2>そう</style>胤<style=C1-2>いん</style>寺<style=C1-1>じ</style>にある伝<style=C1-2>でん</style>千<style=C1-1>ち</style>葉<style=C1-1>ば</style>宗<style=C1-2>まさ</style>胤<style=C1-2>むね</style>五<style=C1-1>ご</style>輪<style=C1-2>りん</style>塔<style=C1-2>とう</style>は、とある意<style=C1-1>い</style>味<style=C1-1>み</style>を持<style=C1-1>も</style>って建<style=C1-1>た</style>てられたといわれています。その意<style=C1-1>い</style>味<style=C1-1>み</style>はどれでしょうか？,宗<style=C1-2>まさ</style>胤<style=C1-2>むね</style>の墓<style=C1-2>はか</style>,活<style=C1-2>かつ</style>躍<style=C1-2>やく</style>を示<style=C1-1>し</style>す記<style=C1-1>き</style>念<style=C1-2>ねん</style>碑<style=C1-1>ひ</style>
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>神<style=C1-2>じん</style>社<style=C1-1.5>じゃ</style>はご祭<style=C1-2>さい</style>神<style=C1-2>じん</style>の名<style=C1-1>な</style>前<style=C1-2>まえ</style>から妙<style=C1-2.5>みょう</style>見<style=C1-2>けん</style>様<style=C1-2>さま</style>と呼<style=C1-1>よ</style>ばれ親<style=C1-2>した</style>しまれています。妙<style=C1-2.5>みょう</style>見<style=C1-2>けん</style>様<style=C1-2>さま</style>は何<style=C1-2>なん</style>の神<style=C1-2>かみ</style>様<style=C1-2>さま</style>でしょう？,北<style=C1-1.5>ほっ</style>極<style=C1-2.5>きょく</style>星<style=C1-2>せい</style>の神<style=C1-2>かみ</style>様<style=C1-2>さま</style>,南<style=C1-2>なん</style>極<style=C1-2.5>きょく</style>星<style=C1-2>せい</style>の神<style=C1-2>かみ</style>様<style=C1-2>さま</style>
中<style=C1-2.5>ちゅう</style>央<style=C1-2>おう</style>区<style=C1-1>く</style>千<style=C1-1>ち</style>葉<style=C1-2>ば</style>寺<style=C1-2>でら</style>町<style=C1-2.5>ちょう</style>には千<style=C1-2>せん</style>葉<style=C1-2>よう</style>寺<style=C1-1>じ</style>には県<style=C1-2>けん</style>の天<style=C1-2>てん</style>然<style=C1-2>ねん</style>記<style=C1-1>き</style>念<style=C1-2>ねん</style>物<style=C1-2>ぶつ</style>に指<style=C1-1>し</style>定<style=C1-2>てい</style>されている木<style=C1-1>き</style>があります。それはどれでしょう,イチョウ,ケヤキ
中<style=C1-2.5>ちゅう</style>央<style=C1-2>おう</style>区<style=C1-1>く</style>亥<style=C1-2>いの</style>鼻<style=C1-2>はな</style>にある亥<style=C1-2>いの</style>鼻<style=C1-2>はな</style>公<style=C1-2>こう</style>園<style=C1-2>えん</style>のお茶<style=C1-1.5>ちゃ</style>の水<style=C1-2>みず</style>には、歴<style=C1-2>れき</style>史<style=C1-1>し</style>上<style=C1-2.5>じょう</style>2人の有<style=C1-2>ゆう</style>名<style=C1-2>めい</style>人<style=C1-2>じん</style>がこの水<style=C1-2>みず</style>でいれたお茶<style=C1-1.5>ちゃ</style>を飲<style=C1-1>の</style>んだという伝<style=C1-2>でん</style>承<style=C1-2.5>しょう</style>がのこされています。1人は源<style=C1-5>みなもとの</style>頼<style=C1-2>より</style>朝<style=C1-2>とも</style> 、もう1人<style=C1-1>り</style>の人<style=C1-2>じん</style>物<style=C1-2>ぶつ</style>はだれでしょうか？,徳<style=C1-2>とく</style>川<style=C1-2>がわ</style>家<style=C1-2>いえ</style>康<style=C1-2>やす</style>,豊<style=C1-2>とよ</style>臣<style=C1-2>とみ</style>秀<style=C1-2>ひで</style>吉<style=C1-2>よし</style>
市<style=C1-1>し</style>内<style=C1-2>ない</style>には多<style=C1-2>おお</style>くの大<style=C1-2>おお</style>型<style=C1-2>がた</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>があり、高<style=C1-2>たか</style>田<style=C1-1>だ</style>町<style=C1-2.5>ちょう</style>の誉<style=C1-2>ほん</style>田<style=C1-1>だ</style>高<style=C1-2>たか</style>田<style=C1-1>だ</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>には、ほかの大<style=C1-2>おお</style>型<style=C1-2>がた</style>貝<style=C1-2>かい</style>塚<style=C1-2>づか</style>よりもあるものが多<style=C1-2>おお</style>く見<style=C1-1>み</style>つかり特<style=C1-2>とく</style>色<style=C1-2.5>しょく</style>があります。それは何<style=C1-2>なん</style>でしょうか？,フナ,イセエビ
千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>の海<style=C1-2>かい</style>岸<style=C1-2>がん</style>は白<style=C1-2>はく</style>砂<style=C1-1.5>しゃ</style>青<style=C1-2>せい</style>松<style=C1-2.5>しょう</style>とうたわれ、江<style=C1-1>え</style>戸<style=C1-1>ど</style>時<style=C1-1>じ</style>代<style=C1-2>だい</style>のとある作<style=C1-2>さく</style>品<style=C1-2>ひん</style>に登<style=C1-2>とう</style>場<style=C1-2.5>じょう</style>していますが、その作<style=C1-2>さく</style>品<style=C1-2>ひん</style>はどれでしょうか？,富<style=C1-1>ふ</style>嶽<style=C1-2>がく</style>三<style=C1-2>さん</style>十<style=C1-2.5>じゅう</style>六<style=C1-1.5>ろっ</style>景<style=C1-2>けい</style>,見<style=C1-1>み</style>返<style=C1-2>かえ</style>り美<style=C1-1>び</style>人<style=C1-2>じん</style>
